name,age,club,minor,pa,best,pos,field,bats,HR_mlb,HR,OBP,OPS+,bestP,HR_p,OBP_p,OPS+_p,OPS+_pF,Tpct,c,1b,2b,3b,ss,lf,cf,rf,dh,cP,1bP,2bP,3bP,ssP,lfP,cfP,rfP,dhP,toWAR,toWARP,c_tdWAR,1b_tdWAR,2b_tdWAR,3b_tdWAR,ss_tdWAR,lf_tdWAR,cf_tdWAR,rf_tdWAR,dh_tdWAR,in_list
Tucker Flint,27,DET,1,0,-0.21,lf,,L,,13,0.31,91,0.64,13,0.33,97,-999,0.91,-11.18,-0.83,-4.41,-4.15,-8.68,-0.21,-2.03,-2.43,-1.1,-10.33,0.02,-3.56,-3.3,-7.83,0.64,-1.18,-1.58,-0.25,-1.1,-0.25,-10.09,0.27,-3.32,-3.05,-7.58,0.88,-0.93,-1.33,0,
Akil Baddoo,29,DET,1,0,-1.13,1b,,L,15,13,0.302,91,0.14,13,0.332,100,-999,0.91,-11.83,-1.13,-5.37,-4.78,-9.06,-4.14,-3.07,-4.04,-1.29,-10.56,0.14,-4.1,-3.51,-7.79,-2.87,-1.8,-2.77,-0.02,-1.29,-0.02,-10.54,0.16,-4.08,-3.49,-7.77,-2.85,-1.78,-2.75,0,
Derek Hill,32,STL,0,309,2.42,rf,CF,R,16,14,0.327,101,2.42,14,0.327,101,101,1.12,-10.73,-0.04,-4.27,-3.69,-7.96,1.35,2.23,2.42,-0.2,-10.73,-0.04,-4.27,-3.69,-7.96,1.35,2.23,2.42,-0.2,-0.2,-0.2,-10.54,0.16,-4.08,-3.49,-7.77,1.54,2.43,2.61,0,
Sean Bouchard,32,CIN,0,104,0.9,lf,,R,23,17,0.316,98,0.9,17,0.316,98,-999,0.98,-10.39,0.35,-3.36,-3.59,-7.88,0.9,-0.92,-1.32,0.01,-10.39,0.35,-3.36,-3.59,-7.88,0.9,-0.92,-1.32,0.01,0.01,0.01,-10.4,0.34,-3.38,-3.6,-7.89,0.88,-0.93,-1.33,0,
Jakson Reetz,32,CHC,1,0,-2.85,1b,,R,21,17,0.257,81,-2.85,17,0.257,81,-999,0.81,-4.14,-2.85,-4.49,-4.69,-9.64,-6.86,-4.29,-6.25,-3.06,-4.14,-2.85,-4.49,-4.69,-9.64,-6.86,-4.29,-6.25,-3.06,-3.06,-3.06,-1.09,0.2,-1.43,-1.63,-6.58,-3.81,-1.23,-3.19,0,
Alex Verdugo,32,NYY,1,0,0.58,lf,,L,14,14,0.322,99,0.58,14,0.322,99,-999,0.99,-10.84,-0.23,-4.0,-1.77,-6.95,0.58,-1.23,-1.63,-0.3,-10.84,-0.23,-4.0,-1.77,-6.95,0.58,-1.23,-1.63,-0.3,-0.3,-0.3,-10.54,0.07,-3.7,-1.47,-6.65,0.88,-0.93,-1.33,0,
Jazz Chisholm Jr.,30,CIN,0,214,1.49,3b,"3B, RF",L,23,17,0.328,102,1.49,17,0.328,102,102,1.02,-10.56,0.33,0.49,1.49,-1.65,1.25,0.83,1.14,-0.02,-10.56,0.33,0.49,1.49,-1.65,1.25,0.83,1.14,-0.02,-0.02,-0.02,-10.54,0.35,0.51,1.51,-1.63,1.27,0.85,1.16,0,
Lane Thomas,32,CIN,0,227,1.11,lf,LF,R,20,17,0.316,98,1.11,17,0.316,98,98,0.98,-10.52,0.29,-1.81,-2.17,-7.08,1.11,-0.03,-0.04,0.01,-10.52,0.29,-1.81,-2.17,-7.08,1.11,-0.03,-0.04,0.01,0.01,0.01,-10.54,0.27,-1.82,-2.18,-7.09,1.1,-0.04,-0.05,0,
Christopher Morel,29,TB,0,77,0.87,3b,"3B, LF",R,27,22,0.31,99,0.87,22,0.31,99,99,0.99,-10.83,0.1,0.65,0.87,-1.74,0.8,-0.34,-0.34,-0.29,-10.83,0.1,0.65,0.87,-1.74,0.8,-0.34,-0.34,-0.29,-0.29,-0.29,-10.54,0.39,0.95,1.16,-1.45,1.1,-0.04,-0.05,0,
Logan Tanner,27,BAL,1,0,-1.86,c,,R,,10,0.254,74,0.83,13,0.303,91,-999,0.74,-1.86,-4.01,-7.41,-6.66,-11.43,-8.06,-5.53,-7.63,-4.16,0.83,-1.32,-4.73,-3.97,-8.75,-5.38,-2.85,-4.95,-1.47,-4.16,-1.47,2.3,0.15,-3.26,-2.5,-7.28,-3.91,-1.37,-3.48,0,
Tyler Fitzgerald,30,CWS,0,335,1.12,3b,"2B, 3B, RF",R,21,17,0.308,96,1.12,17,0.308,96,96,0.96,-11.02,0.21,0.92,1.12,-0.68,0.74,0.27,0.53,-0.48,-11.02,0.21,0.92,1.12,-0.68,0.74,0.27,0.53,-0.48,-0.48,-0.48,-10.54,0.69,1.4,1.6,-0.2,1.22,0.75,1.01,0,
Cody Schrier,25,LAD,1,0,0.21,2b,"2B, LF",R,,14,0.298,91,1.16,14,0.316,96,96,0.93,-11.95,-0.77,0.21,-0.51,-1.64,-0.41,-1.51,-1.75,-1.41,-11.0,0.18,1.16,0.43,-0.69,0.53,-0.56,-0.8,-0.46,-1.41,-0.46,-10.54,0.64,1.62,0.9,-0.23,1.0,-0.1,-0.34,0,
Jair Camargo,29,MIN,1,0,-1.37,1b,,R,,17,0.29,91,0.22,23,0.313,101,-999,0.91,-2.81,-1.37,-4.88,-4.52,-8.44,-5.54,-2.78,-4.92,-1.46,-1.22,0.22,-3.29,-2.93,-6.85,-3.95,-1.19,-3.33,0.13,-1.46,0.13,-1.35,0.08,-3.42,-3.06,-6.98,-4.09,-1.32,-3.46,0,
Peyton Graham,27,Free,0,0,-2.57,lf,LF,R,,8,0.256,75,0.64,14,0.316,96,96,0.75,-14.21,-3.05,-3.54,-3.51,-6.82,-2.57,-3.71,-3.72,-3.67,-11.0,0.16,-0.33,-0.3,-3.61,0.64,-0.5,-0.51,-0.46,-3.67,-0.46,-10.54,0.62,0.13,0.17,-3.15,1.1,-0.04,-0.05,0,
Michael Stefanic,32,Free,0,0,0.48,1b,,R,,8,0.365,106,0.48,8,0.365,106,-999,1.06,-10.18,0.48,-0.71,-1.41,-5.36,-2.49,-1.51,-2.39,0.36,-10.18,0.48,-0.71,-1.41,-5.36,-2.49,-1.51,-2.39,0.36,0.36,0.36,-10.54,0.12,-1.07,-1.77,-5.72,-2.85,-1.87,-2.75,0,
Esteury Ruiz,29,CWS,0,380,2.15,rf,RF,R,14,14,0.333,102,2.15,14,0.333,102,102,1.02,-10.39,0.5,-0.7,-0.86,-4.97,1.48,1.73,2.15,0.14,-10.39,0.5,-0.7,-0.86,-4.97,1.48,1.73,2.15,0.14,0.14,0.14,-10.54,0.35,-0.84,-1.01,-5.12,1.33,1.58,2.01,0,
Isaac Paredes,29,PIT,0,325,2.58,lf,,R,28,27,0.358,113,2.58,27,0.358,113,-999,1.13,-8.84,1.97,1.17,1.44,-2.23,2.58,0.77,0.36,1.7,-8.84,1.97,1.17,1.44,-2.23,2.58,0.77,0.36,1.7,1.7,1.7,-10.54,0.27,-0.53,-0.25,-3.93,0.88,-0.93,-1.33,0,
Joshua Mears,27,SD,1,0,0.72,lf,LF,R,,34,0.284,100,1.35,34,0.291,102,102,1.0,-10.91,-0.06,-4.67,-4.03,-7.83,0.72,-0.42,-0.43,-0.38,-10.29,0.57,-4.04,-3.41,-7.21,1.35,0.21,0.2,0.25,-0.38,0.25,-10.54,0.32,-4.29,-3.65,-7.46,1.1,-0.04,-0.05,0,
Vinnie Pasquantino,30,STL,0,335,2.34,1b,,L,23,22,0.348,113,2.34,22,0.348,113,-999,1.13,-8.58,2.34,-1.3,-0.54,-5.32,-2.18,0.54,-1.64,1.96,-8.58,2.34,-1.3,-0.54,-5.32,-2.18,0.54,-1.64,1.96,1.96,1.96,-10.54,0.39,-3.26,-2.5,-7.28,-4.13,-1.42,-3.6,0,
Andres Chaparro,29,Free,0,0,0.22,1b,,R,19,23,0.315,102,1.01,23,0.329,107,-999,1.02,-10.48,0.22,-2.34,-2.89,-7.84,-3.8,-1.27,-3.28,0.06,-9.69,1.01,-1.55,-2.1,-7.05,-3.01,-0.48,-2.49,0.85,0.06,0.85,-10.54,0.16,-2.4,-2.94,-7.9,-3.86,-1.32,-3.34,0,
Oswaldo Cabrera,29,NYY,0,225,0.28,lf,,S,20,17,0.31,97,0.94,17,0.326,102,-999,0.97,-11.1,-0.25,-0.48,-0.95,-4.01,0.28,-1.54,-2.03,-0.56,-10.43,0.42,0.18,-0.28,-3.35,0.94,-0.87,-1.37,0.11,-0.56,0.11,-10.54,0.31,0.08,-0.39,-3.45,0.84,-0.98,-1.47,0,
Colton Cowser,28,SEA,0,226,1.76,lf,RF,L,23,16,0.344,103,3.24,22,0.36,113,113,1.03,-10.0,0.85,-2.13,-1.19,-5.91,1.76,1.38,1.55,0.54,-8.52,2.33,-0.65,0.29,-4.43,3.24,2.86,3.03,2.02,0.54,2.02,-10.54,0.31,-2.67,-1.73,-6.45,1.22,0.84,1.01,0,
Rodolfo Castro,29,PHI,1,0,0.01,1b,,S,23,22,0.312,99,1.41,22,0.34,108,-999,0.99,-10.96,0.01,-0.61,-0.25,-3.76,-4.28,-1.7,-3.75,-0.42,-9.56,1.41,0.78,1.14,-2.37,-2.88,-0.3,-2.36,0.98,-0.42,0.98,-10.54,0.43,-0.19,0.17,-3.34,-3.86,-1.28,-3.34,0,
Eguy Rosario,28,STL,0,326,1.03,3b,3B,R,19,17,0.305,94,2.91,22,0.34,108,108,0.94,-11.45,-0.71,0.28,1.03,-1.74,0.08,-1.7,-1.95,-0.91,-9.56,1.18,2.16,2.91,0.15,1.96,0.19,-0.07,0.98,-0.91,0.98,-10.54,0.2,1.19,1.94,-0.83,0.99,-0.79,-1.04,0,
Camilo Doval,31,CHC,0,0,-9.24,1b,,R,,4,0.134,44,-9.24,4,0.134,44,-999,0.44,-20.14,-9.24,-12.04,-11.35,-15.26,-14.18,-11.44,-13.76,-9.61,-20.14,-9.24,-12.04,-11.35,-15.26,-14.18,-11.44,-13.76,-9.61,-9.61,-9.61,-10.54,0.36,-2.43,-1.75,-5.65,-4.57,-1.83,-4.15,0,
Jonathan Aranda,30,KC,0,298,0.84,lf,,L,24,17,0.332,101,0.84,17,0.332,101,-999,1.01,-10.49,0.48,0.07,-0.89,-3.71,0.84,-0.98,-1.56,0.05,-10.49,0.48,0.07,-0.89,-3.71,0.84,-0.98,-1.56,0.05,0.05,0.05,-10.54,0.43,0.02,-0.94,-3.76,0.79,-1.03,-1.61,0,
Bobby Seymour,29,Free,0,0,-0.68,1b,,L,,17,0.299,94,0.36,23,0.313,101,-999,0.94,-11.44,-0.68,-5.61,-5.56,-9.29,-5.04,-2.45,-4.51,-0.9,-10.4,0.36,-4.58,-4.52,-8.25,-4.0,-1.42,-3.47,0.13,-0.9,0.13,-10.54,0.22,-4.71,-4.65,-8.38,-4.13,-1.55,-3.6,0,
Will Simpson,26,TB,1,0,0.34,1b,,R,,17,0.318,98,1.38,22,0.332,106,-999,0.98,-10.66,0.34,-2.23,-1.75,-7.11,-2.92,-1.94,-2.73,-0.12,-9.62,1.38,-1.2,-0.71,-6.07,-1.88,-0.9,-1.69,0.92,-0.12,0.92,-10.54,0.47,-2.11,-1.63,-6.99,-2.8,-1.82,-2.61,0,
Josh Smith,30,TEX,0,339,1.73,3b,3B,L,15,13,0.347,102,1.73,13,0.347,102,102,1.02,-10.19,0.73,1.47,1.73,-0.8,-2.46,-1.43,-2.27,0.34,-10.19,0.73,1.47,1.73,-0.8,-2.46,-1.43,-2.27,0.34,0.34,0.34,-10.54,0.39,1.13,1.39,-1.14,-2.8,-1.77,-2.61,0,
Yanuel Casiano,21,CIN,1,0,-0.84,c,,R,,12,0.278,84,1.52,17,0.32,99,-999,0.84,-0.84,-2.48,-6.62,-6.48,-10.42,-7.09,-4.18,-6.71,-2.66,1.52,-0.12,-4.26,-4.12,-8.07,-4.73,-1.82,-4.35,-0.3,-2.66,-0.3,1.82,0.18,-3.96,-3.82,-7.76,-4.43,-1.52,-4.05,0,
Christian de los Santos,22,PHI,1,0,-5.45,1b,,R,,12,0.209,68,0.36,28,0.312,104,-999,0.68,-16.1,-5.45,-11.46,-10.49,-15.86,-8.31,-7.29,-8.03,-5.56,-10.3,0.36,-5.66,-4.69,-10.05,-2.51,-1.48,-2.23,0.24,-5.56,0.24,-10.54,0.11,-5.9,-4.93,-10.29,-2.75,-1.73,-2.47,0,
Max Acosta,25,MIA,1,88,2.54,3b,"2B, 3B, RF",R,8,12,0.337,102,3.16,14,0.35,107,107,1.04,-10.38,0.64,1.8,2.54,0.58,1.43,0.96,1.32,0.16,-9.75,1.26,2.42,3.16,1.2,2.06,1.59,1.95,0.79,0.16,0.79,-10.54,0.48,1.64,2.38,0.42,1.27,0.8,1.16,0,
Cal Stevenson,31,Free,0,0,0.4,1b,,L,,9,0.365,101,0.4,9,0.365,101,-999,1.01,-10.22,0.4,-1.11,-1.31,-6.26,-2.53,-1.55,-2.43,0.32,-10.22,0.4,-1.11,-1.31,-6.26,-2.53,-1.55,-2.43,0.32,0.32,0.32,-10.54,0.08,-1.43,-1.63,-6.58,-2.85,-1.87,-2.75,0,
Tyler Black,27,TOR,0,344,1.73,lf,LF,L,15,13,0.352,105,2.24,16,0.353,107,107,1.05,-9.76,0.93,-1.04,-1.4,-6.31,1.73,0.63,0.3,0.78,-9.24,1.45,-0.53,-0.89,-5.79,2.24,1.15,0.81,1.29,0.78,1.29,-10.54,0.16,-1.82,-2.18,-7.09,0.95,-0.15,-0.48,0,
Jordan Walker,26,STL,0,365,6.84,lf,LF,R,27,44,0.412,144,6.84,44,0.412,144,144,1.45,-4.84,6.2,3.15,5.11,-0.12,6.84,5.7,5.79,5.7,-4.84,6.2,3.15,5.11,-0.12,6.84,5.7,5.79,5.7,5.7,5.7,-10.54,0.5,-2.55,-0.59,-5.82,1.15,0.01,0.09,0,
Elehuris Montero,29,NYY,0,211,0.87,1b,,R,23,17,0.336,105,2.35,23,0.361,116,-999,1.05,-10.01,0.87,-2.5,-3.08,-7.15,-3.56,-0.89,-2.93,0.53,-8.53,2.35,-1.02,-1.59,-5.67,-2.07,0.6,-1.45,2.01,0.53,2.01,-10.54,0.34,-3.03,-3.6,-7.68,-4.09,-1.41,-3.46,0,
Victor Scott II,27,STL,1,0,0.25,lf,,L,7,10,0.328,98,0.92,10,0.346,103,-999,0.98,-11.07,-0.55,-5.37,-4.77,-8.3,0.25,-1.47,-2.15,-0.53,-10.4,0.11,-4.71,-4.11,-7.64,0.92,-0.81,-1.48,0.13,-0.53,0.13,-10.54,-0.02,-4.84,-4.24,-7.77,0.79,-0.94,-1.61,0,
Sean Murphy,33,ATL,0,113,0.36,1b,,R,22,16,0.334,101,0.36,16,0.334,101,-999,1.01,0.04,0.36,-3.47,-1.19,-6.28,-3.7,-1.16,-2.98,0.06,0.04,0.36,-3.47,-1.19,-6.28,-3.7,-1.16,-2.98,0.06,0.06,0.06,-0.02,0.3,-3.53,-1.25,-6.34,-3.76,-1.22,-3.05,0,
Jeremy Pena,30,CWS,0,88,1.18,2b,2B,R,14,14,0.318,98,1.18,14,0.318,98,98,0.98,-11.3,-0.13,1.18,0.89,-0.19,0.12,-1.65,-2.1,-0.76,-11.3,-0.13,1.18,0.89,-0.19,0.12,-1.65,-2.1,-0.76,-0.76,-0.76,-10.54,0.64,1.95,1.66,0.58,0.88,-0.89,-1.33,0,
Ryan Jeffers,31,MIN,0,256,0.7,1b,,R,25,22,0.325,104,0.7,22,0.325,104,-999,1.04,0.45,0.7,-3.26,-2.19,-7.15,-3.72,-1.01,-3.01,0.31,0.45,0.7,-3.26,-2.19,-7.15,-3.72,-1.01,-3.01,0.31,0.31,0.31,0.13,0.39,-3.57,-2.5,-7.46,-4.04,-1.32,-3.32,0,
Ryan Ritter,27,COL,0,314,1.63,2b,"2B, 3B",R,14,14,0.307,94,2.56,17,0.317,99,99,0.94,-11.42,-0.14,1.63,1.56,0.9,-0.05,-1.82,-2.36,-0.88,-10.49,0.79,2.56,2.49,1.83,0.88,-0.89,-1.43,0.05,-0.88,0.05,-10.54,0.75,2.52,2.45,1.79,0.84,-0.94,-1.47,0,
Bryan Mata,29,CHC,0,0,-8.82,1b,,R,,4,0.14,46,-8.82,4,0.14,46,-999,0.46,-19.79,-8.82,-12.51,-12.1,-15.94,-13.82,-11.08,-13.41,-9.25,-19.79,-8.82,-12.51,-12.1,-15.94,-13.82,-11.08,-13.41,-9.25,-9.25,-9.25,-10.54,0.44,-3.25,-2.85,-6.69,-4.57,-1.83,-4.15,0,
Connor Wong,32,BOS,0,270,0.78,lf,LF,R,16,17,0.309,98,0.78,17,0.309,98,98,0.98,0.12,0.23,-0.68,-1.18,-5.09,0.78,-0.36,-0.65,-0.17,0.12,0.23,-0.68,-1.18,-5.09,0.78,-0.36,-0.65,-0.17,-0.17,-0.17,0.29,0.4,-0.51,-1.01,-4.92,0.95,-0.19,-0.48,0,
Blake Robertson,27,NYM,1,0,-0.32,lf,,L,,13,0.308,92,0.21,13,0.317,95,-999,0.92,-11.56,-0.74,-4.36,-4.98,-9.15,-0.32,-2.14,-2.63,-1.16,-11.03,-0.22,-3.83,-4.46,-8.62,0.21,-1.61,-2.1,-0.63,-1.16,-0.63,-10.4,0.41,-3.2,-3.83,-7.99,0.84,-0.98,-1.47,0,
Cody Milligan,29,Free,0,0,0.27,lf,LF,L,,6,0.327,95,0.27,6,0.327,95,95,0.95,-6.29,-0.55,-1.68,-2.65,-7.08,0.27,-0.83,-1.16,-0.68,-6.29,-0.55,-1.68,-2.65,-7.08,0.27,-0.83,-1.16,-0.68,-0.68,-0.68,-5.61,0.13,-1.0,-1.97,-6.4,0.95,-0.15,-0.48,0,
Riley Adams,32,CHC,1,0,-1.95,1b,,R,15,14,0.274,85,-1.95,14,0.274,85,-999,0.85,-3.8,-1.95,-5.32,-4.46,-9.36,-6.23,-3.42,-5.32,-2.29,-3.8,-1.95,-5.32,-4.46,-9.36,-6.23,-3.42,-5.32,-2.29,-2.29,-2.29,-1.51,0.34,-3.03,-2.17,-7.07,-3.93,-1.13,-3.03,0,
José Miranda,30,Free,0,0,1.25,lf,,R,20,14,0.339,105,1.25,14,0.339,105,-999,1.05,-10.08,0.9,-0.81,-0.96,-5.83,1.25,-0.57,-1.15,0.46,-10.08,0.9,-0.81,-0.96,-5.83,1.25,-0.57,-1.15,0.46,0.46,0.46,-10.54,0.44,-1.27,-1.42,-6.29,0.79,-1.03,-1.61,0,
Nick Loftin,29,NYM,0,73,0.58,lf,LF,R,7,12,0.332,99,0.58,12,0.332,99,99,0.99,-10.91,0.14,0.45,-0.35,-2.45,0.58,-0.52,-0.85,-0.37,-10.91,0.14,0.45,-0.35,-2.45,0.58,-0.52,-0.85,-0.37,-0.37,-0.37,-10.54,0.51,0.83,0.03,-2.08,0.95,-0.15,-0.48,0,
Darell Hernaiz,26,SF,0,128,0.47,lf,,R,6,12,0.33,100,2.03,13,0.364,110,-999,1.0,-10.85,0.04,0.09,-0.7,-3.57,0.47,-1.3,-1.93,-0.32,-9.29,1.6,1.65,0.86,-2.01,2.03,0.26,-0.37,1.24,-0.32,1.24,-10.54,0.36,0.41,-0.39,-3.26,0.79,-0.99,-1.61,0,
Jhon Diaz,25,TB,1,0,-0.19,lf,LF,L,,13,0.302,91,0.85,13,0.322,98,98,0.93,-11.83,-1.35,-4.35,-3.99,-10.36,-0.19,-1.29,-1.34,-1.29,-10.79,-0.3,-3.3,-2.95,-9.32,0.85,-0.25,-0.3,-0.25,-1.29,-0.25,-10.54,-0.05,-3.05,-2.7,-9.07,1.1,0.0,-0.05,0,
Hunter Fitz-Gerald,27,SEA,1,0,-1.4,1b,,L,,10,0.295,87,1.2,28,0.32,107,-999,0.87,-12.37,-1.4,-5.03,-5.21,-9.41,-5.92,-3.11,-5.29,-1.83,-9.77,1.2,-2.43,-2.61,-6.81,-3.32,-0.51,-2.69,0.77,-1.83,0.77,-10.54,0.43,-3.2,-3.38,-7.58,-4.09,-1.28,-3.46,0,
Dustin Harris,29,TEX,1,0,0.34,1b,,L,93,13,0.332,100,0.34,13,0.332,100,-999,1.0,-10.56,0.34,-2.23,-2.09,-6.28,-2.87,-1.85,-2.77,-0.02,-10.56,0.34,-2.23,-2.09,-6.28,-2.87,-1.85,-2.77,-0.02,-0.02,-0.02,-10.54,0.36,-2.21,-2.07,-6.25,-2.85,-1.82,-2.75,0,
Jake Burger,32,SF,1,0,0.24,1b,,R,34,23,0.306,101,0.24,23,0.306,101,-999,1.01,-10.7,0.24,-2.04,-2.89,-7.55,-4.24,-1.48,-3.62,-0.16,-10.7,0.24,-2.04,-2.89,-7.55,-4.24,-1.48,-3.62,-0.16,-0.16,-0.16,-10.54,0.39,-1.88,-2.73,-7.39,-4.09,-1.32,-3.46,0,
David Fry,32,CLE,0,121,0.81,1b,,R,23,17,0.319,102,0.81,17,0.319,102,-999,1.02,-0.12,0.81,-1.11,-0.93,-6.0,-3.37,-0.84,-2.85,0.49,-0.12,0.81,-1.11,-0.93,-6.0,-3.37,-0.84,-2.85,0.49,0.49,0.49,-0.61,0.32,-1.6,-1.42,-6.49,-3.86,-1.32,-3.34,0,
